AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021
Current_Assets,0.8,1.0,1.4,1.6,1.8,2.7
Current_Liabilities,0.1,0.2,0.2,0.2,0.2,7.3
Diluted_EPS,0.005,-0.015,-0.006,-0.008,-0.01,-0.003
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,27.4256,27.4256,27.4256,27.4256,27.4256,27.4256
Total_Assets,215.4,215.3,215.8,215.9,216.2,7.2
Total_Liabilities,7.6,7.7,7.7,7.7,7.7,7.3
